ticket_id,purchase_date,price,customer_id,scan_date,scanned_by,discount_id,source,referrer_id,discount_pct,event_id,event_start,event_end,brand_id,venue_id,city_id,flyer_url
20154,2023-06-26 20:06:34.574221+00,12,12480,2023-07-01 19:37:36.257109+00,jordi,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
21391,2023-06-27 11:12:35.326497+00,10.8,12483,\N,\N,yLP6fw9Qi-xivOVBEWovEk-SZBuNsG7O,\N,\N,10,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
21392,2023-06-27 11:12:35.419221+00,10.8,12483,\N,\N,yLP6fw9Qi-xivOVBEWovEk-SZBuNsG7O,\N,\N,10,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
21404,2023-06-27 15:20:46.235528+00,12,12488,2023-07-01 19:58:03.43242+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
21403,2023-06-27 15:10:29.926682+00,12,12487,2023-07-01 20:03:44.538348+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
21413,2023-06-27 17:11:48.262102+00,12,12491,2023-07-01 20:14:18.95363+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
21414,2023-06-27 17:11:48.383804+00,12,12491,2023-07-01 20:14:21.717754+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
21387,2023-06-27 11:07:17.201871+00,12,608,2023-07-01 20:16:53.256114+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
21399,2023-06-27 14:59:05.268214+00,12,12485,2023-07-01 20:17:18.406609+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
21400,2023-06-27 14:59:05.368166+00,12,12485,2023-07-01 20:17:22.117814+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
